TypeError: 'undefined' is not an object (evaluating 'EP.Resource.columnDefs')

  http://www.wxyz.com/html/js/endplay/PaywallUtil.js?epversion=47298:1
'29','inner','/money/consumer/recalls/recall-100-tons-of-dried-egg-products-recalled-over-salmonella-concerns',' RECALL: 100 tons of dried egg products(WXYZ) - A Washington state company is recalling more than 100 tons of dried egg products over concerns about salmonella contamination.',' : under50Multi : longString : 2pSpaces'
'29','inner','/money/auto-news/general-motors-recalls-780000-compact-cars-due-to-engine-shut-down-six-deaths',' GM recalls 780K cars after six deathsGeneral Motors is recalling nearly 780,000 compact cars in North America because the engines can shut down unexpectedly and cause crashes.',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/local-news/water-cooler/video-detroit-academy-of-arts-and-sciences-students-show-how-happy-they-are','VIDEO: Detroit Academy of Arts and Sciences choir sing, dance to Pharrell Williams' 'Happy' - WXYZ.c',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/drivers-dodge-giant-see-through-pothole-on-southbound-i-75-on-rouge-river-bridge-in-detroit','Drivers dodge giant see-through pothole on southbound I-75 on Rouge River Bridge in Detroit - WXYZ.c',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/region/wayne-county/family-of-boy-with-incurable-disease-gets-home-makeover','Family of boy with incurable disease gets home makeover - WXYZ.com',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/100-serial-rapists-identified-after-rape-kits-from-detroit-crime-lab-are-finally-processed','100 serial rapists identified after rape kits from Detroit Crime Lab are finally processed - WXYZ.co',' : under50Multi : longString : 2pSpaces'
'25','block__inner','/news/region/oakland-county/video-armed-robber-targets-party-store-in-waterford-fires-gun-just-above-clerks-head','VIDEO: Armed robber targets party store in Waterford, fires gun just above clerk's head - WXYZ.com',' : under50Multi : longString : 2pSpaces'
'-2','footer--logo','/','',' : under50Multi : shortString'
'1','nav nav--footer link-list--inline','/news','NEWS',' : over50Multi : shortString'
'4','nav nav--footer link-list--inline','/weather','WEATHER',' : over50Multi : shortString'
'7','nav nav--footer link-list--inline','/traffic','TRAFFIC',' : over50Multi : shortString'
'10','nav nav--footer link-list--inline','/sports','SPORTS',' : over50Multi : shortString'
'17','nav nav--footer link-list--inline','/news/investigators','INVESTIGATORS',' : over50Multi'
'12','nav nav--footer link-list--inline','/entertainment','ENTERTAINMENT',' : over50Multi'
'6','nav nav--footer link-list--inline','/marketplace','MARKETPLACE',' : under50Multi'
'29','grid grid-half link-list link-list--stacked','/about-us/advertise','Advertise with Us',' : under50Multi : longString : 2pSpaces'
'8','grid grid-half link-list link-list--stacked','/about-us/contact-us','Contact Us',' : under50Multi'
'-2','grid grid-half link-list link-list--stacked','/about-us/staff','Staff',' : under50Multi : shortString'
'-2','grid grid-half link-list link-list--stacked','/weather','Weather',' : under50Multi : shortString'
'8','grid grid-half link-list link-list--stacked','/news/investigators','Investigators',' : under50Multi'
'13','grid grid-half link-list link-list--stacked','/community','Community Action',' : over50Multi'
'13','grid grid-half link-list link-list--stacked','/entertainment/around-town','Around Town',' : over50Multi'
'13','grid grid-half link-list link-list--stacked','http://sendit.wxyz.com/','Share News',' : over50Multi'
'3','grid grid-half link-list link-list--stacked','/contests','Contests',' : over50Multi : shortString'
'8','link-list link-list--inline','/about-us/privacy-policy','Privacy Policy',' : under50Multi'
'14','link-list link-list--inline','/about-us/legal/terms-conditions','Terms of Use',' : under50Multi : 2pSpaces'
'-10','link-list link-list--inline','/about-us/legal/wxyz-tv-eeo-public-file-report','EEO',' : under50Multi : shortString'
